sym,session,n_in,n_out,beta,r2_in,r2_out
A,close,628,394,0.0014546299553375068,0.6900230533574169,0.7217867874101049
A,midday,5127,1763,0.002374755700740347,0.524734240861099,0.4419387091849143
A,open,379,170,0.005783990193066861,0.1955264019534128,0.12605710470791187
AA,close,558,440,0.000197925347630953,0.833899758639633,0.656762068810587
AA,midday,5548,2031,0.0003135544038365223,0.5788851439773012,0.4944923932821089
AA,open,371,248,0.001558660682069036,0.08339741551925699,-1.5646473198166193
AAAU,midday,173,57,0.0001585024614240778,0.1440637176783618,0.01844916841567601
AAL,close,889,503,7.530666060306705e-05,0.5640195703702923,-0.664928290997802
AAL,midday,9124,3843,0.0002669780488617328,0.606033088848851,0.41195088676471037
AAL,open,1000,373,0.0005408043958743921,0.5422558127311107,0.6973611561036291
AAN,close,413,211,0.004447257117233181,0.17953681912677272,-0.04609830334556975
AAN,midday,2243,1202,0.0060184257844216145,0.23871728237090142,0.2016792343321503
AAN,open,208,97,0.012971230489430732,0.02579131651628815,-0.0646412395761311
AAOI,close,182,177,0.00045181219789101104,0.23873322380835532,0.31316382824294764
AAOI,midday,1632,594,0.0009247730837082298,0.2830186514519202,0.2896738531608932
AAOI,open,241,66,0.0016889771163230882,0.2526845160640358,0.4767594862116745
AAON,close,147,167,0.0009090447957405355,0.04849863349469851,0.08083637573647007
AAON,midday,1285,320,0.001844777995147236,0.040076939088855665,0.09437916414037795
AAON,open,51,17,0.0920825347387864,0.4827870313318015,-13.931753453152012
AAP,close,521,281,0.005815546837968817,0.6319653446754333,0.3094434291846726
AAP,midday,2827,1502,0.00976523987305107,0.22747811112262914,0.3777628981292247
AAP,open,234,78,0.02849205366511543,0.2774455397197908,0.31968388119516933
AAPL,close,1178,529,0.001548079465899349,0.7246368859967562,0.15375888562261408
AAPL,midday,12870,5424,0.0013671022801663405,0.596675062918813,0.5703619255998031
AAPL,open,1247,534,0.001974849730747081,0.7230773335073439,0.758127593686031
AAT,close,164,165,0.003893129421517888,0.16668625446785582,-0.1288872034926829
AAT,midday,1045,366,0.0058929370074861775,0.08688417204909389,-0.11367899574487605
AAT,open,92,30,0.02559529847584437,0.20301247656194324,-0.3125244267301781
AAU,open,85,24,9.676070206271566e-05,0.04373705848609854,-0.20920318669564475
AAWW,close,258,202,0.0013416281531489541,0.26433334327380925,-0.15356694594556752
AAWW,midday,1470,631,0.0011474590659131144,0.06567359310586221,0.09761440737309524
AAWW,open,124,102,0.002805302146045921,0.024739102386769008,0.021611273917174212
AAXJ,close,562,306,0.0001730405364262705,0.3885915947380912,0.6381127915974254
AAXJ,midday,5214,1611,0.0005466584208188109,0.5441269295541067,-0.293555084017725
AAXJ,open,662,271,0.0007465448870389932,0.29368239863686824,0.3056885570256491
AAXN,close,317,235,0.0025725808494214955,0.2362198048294734,0.15630645995137527
AAXN,midday,1749,847,0.006646817325165924,0.34391057146972087,-0.00539007764069277
AAXN,open,225,78,0.008252657564119349,0.15999244749181538,0.031826678675288655
AB,close,108,90,0.003595639061653349,0.2623963572483866,-0.005549634088298783
AB,midday,684,448,0.008527143531470837,0.16420638445417002,0.02923282075350475
AB,open,53,49,0.03128324531732018,0.202622685993859,-1.2215377721745897
ABB,close,409,202,3.3026826113989965e-05,0.40281398952704506,0.7135984611757671
ABB,midday,4773,1420,2.996179038089861e-05,0.44987131848557926,0.5882403545448418
ABB,open,700,285,3.6669536826254996e-05,0.3924512476522244,
ABBV,close,934,466,0.0009662545894843002,0.6748587463443577,0.6795651450508717
ABBV,midday,8257,3203,0.0013343779239723588,0.7469252358075018,0.3461405378752316
