sym,session,n_in,n_out,beta,r2_in,r2_out
A,close,518,362,0.0069725125350917315,0.4939468682880406,0.15945726150136774
A,midday,2638,1580,0.01180394946731478,0.31144660664604057,-0.1559127638681166
A,open,253,111,0.0059714544983905556,0.03894119187527321,0.3152211343545711
AA,close,816,462,0.0005719255800205476,0.40896767864633027,0.576529767650934
AA,midday,7521,3247,0.0012598205424645893,0.5915451567770444,0.6623081052551768
AA,open,500,206,0.004288670248407131,0.31121498195973196,0.42985576638208767
AAAA,midday,690,276,0.00038432726101628466,0.0687585523030351,0.013256046028420898
AAAA,open,77,54,0.00174373795761079,0.07915858087756614,0.009314552511872631
AAAU,close,499,262,8.70469245885176e-06,0.28731433359572456,0.20215803615631445
AAAU,midday,7342,1888,2.0258210678458503e-05,0.5334890404795344,0.3865739361141065
AAAU,open,918,371,3.121511083950537e-05,0.649395799514244,0.8707653633961664
AACBU,midday,68,20,0.7216605392156863,0.1341227236959562,-362.84415684043773
AACG,midday,38,18,6.9139696228441e-05,0.07548645611407342,-0.019253622599500364
AAL,close,792,490,2.0433322618440137e-05,0.810936284356971,0.2332899989339272
AAL,midday,8522,3455,3.6588530438224936e-05,0.7549933532380196,0.6400062775049804
AAL,open,949,386,6.790374301832336e-05,0.5757123757555547,0.6438073502351751
AALG,close,101,82,0.0008953327514200957,0.5004042994804707,0.2911605639069029
AALG,midday,1043,281,0.0012277787451650964,0.4783890097787944,0.6135967484549514
AALG,open,347,81,0.0015707205350820278,0.5940585055204879,0.6081035363696985
AAMI,close,149,146,0.012281596315580238,0.35440934169001903,0.17590891614917525
AAMI,midday,488,234,0.03147882738995442,0.09977712820352276,0.05540734443173656
AAOI,close,520,354,0.001259752398396289,0.43115517111785767,-0.9038439972475929
AAOI,midday,3105,1348,0.0015723522955473626,0.17523989487236802,0.3802711422817283
AAOI,open,378,189,0.0013905354296518905,0.14753443558083545,0.3250408246291828
AAON,close,325,397,0.006731214148614341,0.5307870319952184,-1.763769682513773
AAON,midday,1619,1072,0.017061910539247806,0.27778561347317243,0.24576116701089523
AAON,open,107,70,0.08187544310744262,0.22986977673998188,-0.3197619808940626
AAP,close,337,257,0.0008300169234198094,0.006562538887161672,0.024245483088930375
AAP,midday,1238,763,0.007597504227300891,0.17269350951985943,-2.389568328681329
AAP,open,95,52,0.07920871598521603,0.28970293505015327,0.08816292218439015
AAPB,close,592,290,0.00029083481597209595,0.19546152330762984,0.045861424307261034
AAPB,midday,6739,2250,0.00037600620236073425,0.29118301184374434,0.17158997081893834
AAPB,open,920,386,0.0006714862403610892,0.44043651743448464,0.43640405070795996
AAPD,close,475,238,3.689468154356356e-05,0.5246720939158964,0.4766965071555531
AAPD,midday,5185,1425,3.598845463901275e-05,0.6254926758849572,0.5205879500653092
AAPD,open,883,304,5.1767238582062005e-05,0.6001377957917299,0.5210008608053467
AAPL,close,1248,540,0.0011825807029088816,0.7250954185687658,-0.4970720340321957
AAPL,midday,13417,5699,0.0019059475559400423,0.7075801313142098,0.3193372108288539
AAPL,open,1247,539,0.0025101249431671675,0.6209583862558347,0.7718908021832169
AAPR,midday,108,24,0.00017463685504868226,0.11092565979860668,0.3092792407719158
AAPU,close,879,474,0.0006733636451403295,0.4182156072208905,0.48997542374114367
AAPU,midday,10174,3667,0.0008312512458755627,0.4670143427924927,0.24138953607191915
AAPU,open,1187,495,0.001108149197963473,0.5811562271191528,0.5010597608677494
AAPW,close,256,128,0.0012947676780611663,0.23237483949809054,0.13220557086330043
AAPW,midday,1595,717,0.0010995629883042536,0.0788009636085918,0.26185909003885366
AAPW,open,447,129,0.0010103288994719201,0.028755394577726703,0.2985840097270793
AAPX,close,344,101,0.013387322307985058,0.5437675093546227,0.06987914538395135
AAPX,midday,4518,1495,0.0057842109681230346,0.1625013277085048,0.26962342199365863
AAPX,open,809,338,0.002059730444110824,0.24949727239944589,0.740770254887106
AAPY,midday,126,10,0.006055555555555555,0.8362329712258865,0.9597757794374159
AARD,close,75,200,0.004585365367980073,0.09193334649745963,-0.14747286871720644
AARD,midday,564,312,0.008271690358101663,0.2846875954023553,0.17422037474497898
AAT,close,249,260,0.001378179859674789,0.5344349418144133,0.13935607797536576
AAT,midday,1015,404,0.0026026900765151765,0.22718246833782715,0.28658839004455317
AAT,open,67,58,0.004484485318627435,0.32757578483218563,-0.15751179223166245
AAUC,close,202,132,0.001732613140599674,0.22091283148067942,0.025682423444249425
AAUC,midday,1961,584,0.005074152946105593,0.1514871548636552,0.23896268296493073
AAUC,open,250,111,0.009446948628783019,0.21420584155947714,0.021585993232368428
AAUM,close,32,18,0.005,1.0,1.0
AAUM,midday,387,117,0.005,1.0,1.0
AAUM,open,112,28,0.005,1.0000000000000002,1.0
AAUS,close,283,47,8.160131982981142e-06,2.4585336988325278e-05,-0.020675396297964888
AAUS,midday,3504,1029,0.0002614178028680975,0.020358047904443087,0.022700310148624947
AAUS,open,494,147,0.0005902508442858272,0.1464224734905766,0.005032887531866814
AAVM,midday,1246,310,0.0003435576573403899,0.015327913755594084,0.014454860582357787
AAVM,open,412,192,7.17122431801689e-05,0.006163658573896721,0.004362189488393731
AAXJ,close,806,391,0.00036946504159305737,0.17433053897632697,0.47538886436676264
AAXJ,midday,10461,3845,0.00039953926463700277,0.48680334280554877,0.42046991636507747
AAXJ,open,1127,492,0.000488077540924788,0.6706749464113142,0.6270832983941234
AB,midday,164,107,0.03022516827941333,0.26562419950512384,0.06388959482170442
ABAT,close,309,282,0.0001152728377767373,0.6578275578724326,-1.9082855715177596
ABAT,midday,2883,1193,0.00018188056667305992,0.5441667663087487,0.4763802701895381
ABAT,open,276,114,0.0002358318407247305,0.40963649746103886,-4.64373116814384
ABBV,close,640,422,0.005243797310069283,0.3816504837329499,0.38980918745908977
ABBV,midday,3736,1785,0.01482012719010426,0.3576822323855883,-1.2614378078465425
ABBV,open,423,151,0.0449814743643562,0.2615657005381019,0.4315925692783932
ABCB,close,196,150,0.010551602624769242,0.1910933021883809,0.17526265904306093
ABCB,midday,629,428,0.01642498762962229,0.13923886572014368,0.2557299517351419
ABCB,open,44,29,0.11690122819894903,0.3962615768720882,-0.123747808930603
ABCL,close,248,218,5.052601865313001e-05,0.46133864031640065,0.7012316015044682
ABCL,midday,1982,801,9.41816808378723e-05,0.7387936117435563,0.7731903487935249
ABCL,open,201,52,8.156520384507527e-05,0.3124023164055304,0.5124232769566386
ABCS,midday,359,98,0.0002961838157003194,0.04483925677682129,0.06587710071575226
ABCS,open,118,30,0.0003387399766447849,0.09571896397305839,-0.3413630505338414
ABEO,close,177,249,0.00015799933064106995,0.6956070666583669,-0.2581684699772395
ABEO,midday,1777,623,0.0002426820586326482,0.6474553680904538,0.8201934671185682
ABEO,open,229,82,0.00027355061643671754,0.42364411862774415,0.3182267526206499
ABEQ,midday,261,38,0.0008359056398611557,0.032942489251434566,-0.04953024824997332
ABEQ,open,126,29,0.00071875,0.15145882566806035,-0.10930130661751392
ABEV,close,247,102,7.708043175313336e-07,0.2788276706065145,
ABEV,midday,2257,716,1.215487652229273e-06,0.41050624023899623,0.03765026721786979
ABEV,open,213,116,2.6781395689916573e-06,0.39271089324347824,0.6914443594689242
ABFL,close,63,61,0.0015883977900552487,0.2341868536619918,0.13345277567311375
ABFL,midday,1535,389,0.0012425178048752336,0.2403978500471166,0.26082315924469246
ABFL,open,482,81,0.0010033915376357163,0.19719800140641633,0.2284340939168642
ABG,close,108,102,0.053126610313410615,0.06911004210015681,0.10897838705607099
ABG,midday,978,268,0.033646071485197306,0.0223211597447241,0.11936789969747941
ABIG,close,64,75,2.536901817816317e-05,0.007688446659873591,0.022283925839861385
ABIG,midday,1409,384,0.00012066965940650473,0.12537832739872376,-0.011685350005664175
ABIG,open,308,68,0.0001260326146206625,0.1755131004537275,0.2120671431233917
ABL,close,320,314,0.0006576041367402948,0.48244693699547947,-0.30983769166342
ABL,midday,1396,745,0.0002479667657999155,0.20599253724390915,0.3549223523276036
ABL,open,133,54,0.0036703893923773784,0.4951486726555237,0.257622561648884
ABLD,midday,208,47,0.00033525570642818045,0.01988221052728236,0.08460471081071386
ABLD,open,120,28,0.000246714070243482,0.031123714405601213,-0.06839343748224969
ABLS,close,38,24,0.0003289473684210526,0.16988555078683834,0.17527027546937524
ABLS,midday,391,141,0.0004262642736229637,0.035180768043878465,0.04521669984647225
ABLS,open,330,67,0.00021060454883743755,0.009924288391329599,0.030790447920992392
ABLV,midday,39,15,0.0017538271137691114,0.49740483593284196,-0.013003618091229407
ABM,close,256,177,0.0052796131009769,0.4463121304441342,0.0007387279758087617
ABM,midday,1089,480,0.007460543493457277,0.3666822012845263,0.23486315165372462
ABNB,close,771,473,0.001483056761487949,0.4619789553785953,-1.3929146913494925
ABNB,midday,5345,2559,0.005060438136018218,0.4912465013106643,0.19725637885583136
ABNB,open,556,216,0.008153768515012821,0.3272672339371686,0.4092181279830728
ABNG,close,126,108,0.00011671914945155908,0.22307009067104963,0.17647450889192817
ABNG,midday,1631,546,0.0001275980407287722,0.05346347348832886,0.15628364740411227
ABNG,open,258,60,0.0011163701550252268,0.16570514095340677,-10.230818332082436
ABOS,close,65,28,0.00010830819797139944,0.018344701031405782,0.036616097370917644
ABOS,midday,332,197,0.0010017163788951851,0.4226256077987777,-1.3484518738709603
ABOT,close,33,25,0.0007719379583579196,0.21421278344432268,0.3266641825411255
ABOT,midday,506,157,0.0011677055353788396,0.14465129606050484,0.04021774780044396
ABOT,open,269,41,0.001486863488624052,0.12258536513429709,0.08008187117113075
ABP,midday,105,56,0.004710805423553118,0.18533791049336423,0.3070049542019839
ABR,close,225,237,0.00015458046923981226,0.7952401187264315,0.4527058632178065
ABR,midday,2709,723,0.0002851794431724742,0.7320046395417955,0.7477082818506299
ABR,open,356,67,0.0005299610296422906,0.21022444381605732,0.6291735087408099
ABR-D,midday,34,21,0.00267399031739016,0.031357771414328675,-0.07723970966226812
ABR-E,midday,46,17,0.03467280673072786,0.4378116202492206,0.19498429379250626
ABSI,close,279,263,6.19537954019996e-05,0.7650377764549859,0.7231408303530307
ABSI,midday,2117,812,5.58967410436499e-05,0.4030634096737586,0.5547585745163872
ABSI,open,269,130,0.00029908466850497243,0.5708984937120127,0.6279787980821139
ABT,close,869,478,0.00264835662107192,0.6199177371508207,0.5938188271110681
ABT,midday,7241,3124,0.003924661374639991,0.6183977282693637,0.5599755255833834
ABT,open,644,241,0.0076835908236738935,0.23038633255428012,0.7154337106721973
ABTC,close,347,453,1.6469476774660053e-05,0.4655427633334571,0.3570401327659506
ABTC,midday,3638,1514,1.2039528119495622e-05,0.5683051194821583,0.40735901778678485
ABTC,open,411,89,8.310604941099365e-05,0.42616187620670154,-2.675681148655153
ABTS,midday,71,17,0.03431786727429826,0.23045718078880062,-0.009713040084390778
ABUS,close,219,205,,,
ABUS,midday,1217,646,0.0003444595907078305,0.7418745135102828,0.08682131464197151
ABUS,open,142,47,0.0012439875961385773,0.2975141904988059,0.3074773636424484
ABVC,close,42,45,0.0014988793325963628,0.5598876747535785,0.08685444197501313
ABVC,midday,364,76,0.0006768917600423761,0.3122720274996209,0.16294634054507062
ABVE,close,129,61,0.0009180776017910524,0.295234125642596,-3.204001885133251
ABVE,midday,1258,413,0.00040071550283785995,0.17536133963751746,0.29108644521387617
ABVE,open,96,38,0.0011235983541356524,0.49459749939562864,0.3418407100596881
ABVEW,midday,64,32,0.0003392079119519082,0.055331650012117053,0.04728136311289288
ABVX,close,99,192,0.023393320885211896,0.22264194499431167,-2.3044294608097577
ABVX,midday,1311,442,0.018955555415607964,0.3900229162704099,0.2653008386766923
ABVX,open,283,127,0.03342032391902345,0.5944287259672453,-2.0529171493615763
ACA,close,108,134,0.019470778590657815,0.3693470897499236,0.22350010351373462
ACA,midday,565,192,0.04680037556267288,0.21991521028115,0.11170586415136263
ACA,open,36,14,0.031320130680622754,0.02254207284880493,-0.20385675228527456
ACAD,close,421,316,0.0017181581091433552,0.5988186777110197,-1.2942488797998228
ACAD,midday,2477,1423,0.0019569884089773626,0.367764584229142,-0.05586181137499602
ACAD,open,206,95,0.013668468194550903,0.46642305444822374,0.697243598013805
ACB,close,639,233,4.8162649169630876e-05,0.766809993287237,0.831916479454369
ACB,midday,3175,971,5.33671362059875e-05,0.5298555838539505,0.6894186786481503
ACB,open,476,143,0.00015280847095989263,0.5584966844859086,0.22668029477718588
ACCL,midday,54,22,0.008717360770660716,0.038706934905821194,-0.027372208015455923
ACCO,close,155,136,0.00021212855864752352,0.6103318905947301,0.5806200848540075
ACCO,midday,1549,1645,0.00031040776460209514,0.5004674886854839,0.6260891970349141
ACCO,open,42,18,0.001498909307470095,0.4181116116278838,0.2357700774409619
ACDC,close,173,236,0.00021065028330059208,0.7736460686474936,-1.4450945150600778
ACDC,midday,1540,744,0.0005650106380661236,0.7078658889057008,0.5877338474726503
ACDC,open,136,35,0.0011408405417487287,0.4905207311878736,0.4797493728754221
ACEI,midday,477,66,0.0009801002820432466,0.47996820823474023,0.523437053155851
ACEI,open,150,41,0.007631057136779617,0.045563459081280705,-28.645300641684614
ACEL,close,153,186,0.0013524651296562271,0.6877027937982981,-0.24319970814910308
ACEL,midday,1411,392,0.0010583384174915286,0.26730816612517405,0.5131921652906228
ACEL,open,171,83,0.0028100752833682507,0.32052042243140116,0.5410960928707835
ACEP,close,32,33,6.871618843766926e-05,0.03788384629574122,-0.03193613971487319
ACEP,midday,561,116,6.82111148084535e-05,0.03986601552754333,0.07487474818018813
ACEP,open,146,44,0.00011296254542455232,0.11556182692930447,0.1263365366068574
ACES,close,233,130,0.0004804393200397841,0.18583944577978467,0.14643628827833333
ACES,midday,3815,859,0.0004043861510065795,0.14788246653962403,0.06587603835624511
ACES,open,832,321,0.0006630909487613306,0.046698102919722935,0.1435241783333866
ACET,close,294,219,6.669100344608546e-05,0.29206266316606966,-2.9647763943839167
ACET,midday,1570,1280,3.490719111283542e-05,0.20088318626400242,0.21256634342141967
ACET,open,183,42,3.4007806427288975e-05,0.16429793801588288,0.6663923237268625
ACFN,midday,100,107,0.07160372724521173,0.47114392667981086,0.0703981501430393
ACGL,close,520,455,0.0013858549138821956,0.5224119739579544,-1.7795265813645718
ACGL,midday,3422,1655,0.003012986121688472,0.4994934222522775,-0.2601837996413894
ACGL,open,301,135,0.00765971437366278,0.1784635194215631,0.2503297261550912
ACGLN,midday,63,10,0.009103312453235559,0.49627566410925544,-0.5323631507328594
ACGLO,midday,32,31,0.0027775243462835344,0.12630791964724372,-0.35577869688116714
ACGR,close,137,88,0.0029655406686469065,0.41405724600288707,0.3405113689284558
ACGR,midday,2741,679,0.003360466004843798,0.18080009099699576,0.13282024172073958
ACGR,open,789,241,0.003054678293384064,0.1493397417725928,0.09962510075819675
ACHC,close,585,454,0.00036737328073988777,0.6631443211105181,-0.6841456234484733
ACHC,midday,3141,1594,0.0012474254874222826,0.4973941828297987,-0.402346215288812
ACHC,open,205,113,0.0012714132985522408,0.17955253700681378,0.3164944379520709
ACHR,close,657,385,6.497920499994352e-05,0.6995209407574161,0.4961782354130907
ACHR,midday,7898,3038,9.396189128126311e-05,0.7469743154601437,0.7348380978638047
ACHR,open,948,348,0.00022532910702340104,0.6999994180521445,0.7276971706104229
ACHR+,midday,241,57,0.002096168882966974,0.6856244778513443,0.8045307840293006
ACHR+,open,73,21,0.0025355487047621097,0.37970077791967505,0.2534053044627128
ACHV,close,128,154,0.0006674638876660712,0.6268560479060595,-0.17598345599220222
ACHV,midday,1207,336,0.0006300836292466683,0.17506321473896327,0.36236579183267814
ACHV,open,78,38,0.0022817639406747005,0.16422689044225014,-1.0632762503591788
ACI,close,463,354,0.00011660535441337293,0.6807168823361877,-0.3674149092233221
ACI,midday,3297,1084,0.00021410223415890855,0.6467615798731298,0.26968729136499403
ACI,open,266,78,0.0006768558032558266,0.3873898640797487,0.5471690744480412
ACIC,close,213,189,0.0010150519033356197,0.2596684070600091,0.22117033691480015
ACIC,midday,397,354,0.002892691946420161,0.3703461137423032,0.3537877258199119
ACII,midday,43,19,0.005285977859778598,0.985798312010785,0.996342831509496
ACIO,close,135,55,0.0014557492456826117,0.29377705814649224,-0.17105947071938798
ACIO,midday,3691,800,0.001538680346746064,0.30478818637953375,0.33115941401509574
ACIO,open,372,172,0.001202899620768378,0.3107969564764936,0.23992939456363394
ACIU,close,90,285,0.0004400661818396074,0.11715539685418883,0.4888027294209071
ACIU,midday,641,284,0.00019356735948467628,0.11109524217745492,0.1060100612756979
ACIW,close,334,279,0.0024511376414821603,0.4423264303063978,-0.4717409397779033
ACIW,midday,1158,788,0.006118945726890771,0.4264042113106245,0.39977186475887405
ACIW,open,45,37,0.011036545277675346,0.1519247957123418,0.23522748283246575
ACKY,close,115,134,0.00011980818824052065,0.007702530267746511,0.006937822442792063
ACKY,midday,1119,445,0.000124569509624205,0.027457972958435172,-0.0037384729668408223
ACKY,open,326,82,0.00020062697852953472,0.1069979474472696,0.1252032306736568
ACLC,close,71,72,0.0022129943707518123,0.8634502785598075,0.6696729562756354
ACLC,midday,926,291,0.0015173819763282992,0.3323835197786615,0.27775554650433254
ACLC,open,194,22,0.00201985103100861,0.10952052390207272,0.22140821240323216
ACLS,close,218,316,0.008665228441537857,0.4187662206732069,-0.08172646624237023
ACLS,midday,1228,538,0.00949334204531651,0.10966801336540268,0.23270227275946165
ACLS,open,49,26,0.009842428119605909,0.05848620893299395,0.043909073042589175
ACLX,close,333,320,0.00988924754284346,0.35812713112489214,-17.527327188747677
ACLX,midday,1993,764,0.01052129109426968,0.1631656393955899,0.1474767548433532
ACLX,open,245,96,0.02019343628183861,0.17267497122815428,0.1737679740530078
ACM,close,386,295,0.0037628584500083244,0.25266303517477856,0.39306974849653276
ACM,midday,1555,768,0.00899934772691233,0.22074498955086122,0.2606264814307798
ACM,open,99,63,0.028267239313523124,0.14727878990980114,0.2093487340155149
ACMR,close,335,346,0.0020251392489713457,0.4877585001540636,-0.5251988628385182
ACMR,midday,2039,889,0.002723258740257886,0.20486610347016007,0.3065440276658751
ACMR,open,222,103,0.004598568083652148,0.26827090566269185,0.2088447443809529
ACN,close,487,329,0.015040186256340737,0.34842689510063757,0.08047275225227846
ACN,midday,3080,1401,0.023004620143765354,0.3035441782740108,0.027291001976065044
ACN,open,330,97,0.07145478585385337,0.2623365313253735,0.11350993647138308
ACNB,close,40,58,0.08833420961689568,0.21105510087944268,-0.4043548224082161
ACNB,midday,103,441,0.04555654081778903,0.33709300118187396,-5.312428430255386
ACNT,close,151,159,0.0063128853674648605,0.3314420105402171,-3.0400470870322636
ACNT,midday,463,222,0.0017934751464251512,0.1682325155589008,0.1618138147130801
ACOG,midday,198,78,0.021888270699086037,0.19239251887276212,-0.7217587317157212
ACON,midday,47,39,0.005111322808306735,0.13888232791541621,0.31891723800350313
ACP,close,103,42,0.00024252108583349268,0.4844274423723007,0.20723354330489552
ACP,midday,318,94,0.0001466650826607831,0.5116183241579323,0.7204452211498219
ACP,open,104,38,0.0004129832376779052,0.6524809330271314,-0.986529025091569
ACR,close,40,53,0.002908901712231577,0.12128641037440134,0.07294963736627558
ACR,midday,145,65,0.020350385155918915,0.06142849315598479,0.10428340850285756
ACRE,close,212,139,0.0002397164755303101,0.6665316602120271,0.7582248406698482
ACRE,midday,1285,623,0.0004092056952952039,0.4958222060806802,0.3334527497970805
ACRE,open,91,17,0.00060057138900446,0.18888955373476693,0.3647609455189539
ACRS,close,241,201,0.00021487488749093875,0.9036020935696594,-0.4982162527243783
ACRS,midday,2051,678,0.00027577394031538945,0.7083586970334951,0.7490710860705928
ACRS,open,140,23,0.0008057735535906205,0.3262554588531154,0.6101468066972189
ACRV,close,82,89,,,
ACRV,midday,1029,213,0.0006627583853554634,0.39116039571058003,-0.12026620116126518
ACRV,open,146,88,0.001973867920301514,0.5816497853882214,-1.50385687402018
ACSG,close,52,48,0.0013184756719972779,0.11497903069628562,0.7037486592260953
ACSG,midday,718,171,0.0012833331697627117,0.11406102816509726,0.15463069419852382
ACSG,open,259,51,0.0024115701908009953,0.7586573460874044,0.9957355364486958
ACSI,close,191,144,0.000767638527905182,0.30786126327459085,0.06612130596578014
ACSI,midday,2888,694,0.0007113719171239534,0.33687219983632666,0.42575121826976003
ACSI,open,528,212,0.004134366315182246,0.01183104303835682,-11.492157146556096
ACSV,close,45,53,0.0018722172751558324,0.3125317047252987,0.3785518631948763
ACSV,midday,456,147,0.0011823818472329693,0.29602891471634124,0.31810728551258993
ACSV,open,175,47,0.0025471036417647704,0.89692238800845,0.9993224404060228
ACT,close,197,356,0.0032968523955710758,0.4646554549710735,-0.13623648122593024
ACT,midday,671,564,0.006366764200496329,0.4074171933872003,0.12707445092698177
ACT,open,67,36,0.03150923912547241,0.2267650610772559,-0.8665416376191262
ACTG,close,151,96,0.0005444794442417565,0.78018385987098,0.5131300032013181
ACTG,midday,646,297,0.0007417423311898648,0.576649126859532,0.7134153547289982
ACTU,close,58,113,0.0003971647926111874,0.07840689089578061,0.09085685506146701
ACTU,midday,163,184,0.013388843461127118,0.5967596044559569,-6.936301495603618
ACV,midday,72,17,0.007389387318138672,0.07222803764699638,0.1989592880497395
ACVA,close,209,258,0.00018944743528464785,0.8738155679918164,0.6170568455929781
ACVA,midday,1965,761,0.000623610462417069,0.6925165146685719,-0.842741681944301
ACVA,open,215,94,0.002836589197113796,0.47167110383763877,-3.9189384791696504
ACVF,close,124,133,0.0004466252832855439,0.10764869216002376,-0.07468934605174105
ACVF,midday,2604,725,0.000639858321721796,0.09462103505264013,-0.06270702478975654
ACVF,open,271,180,0.00039780163245322004,0.09312458541167883,0.6142930883661527
ACVT,close,44,19,,,
ACVT,midday,262,105,0.000996168582375479,0.015096102548092585,-0.0013139945232019112
