tier,decile,n,ahead0_min,ahead0_median,ahead0_max,p_fill,p_fill_upper,cancel_share
top100,1,65566,1,100.0,100,0.04833297745782875,0.529924045999451,0.5294871808754276
top100,2,65565,100,200.0,201,0.06341798215511325,0.4498589186303668,0.5570780462326749
top100,3,65565,201,300.0,400,0.07153206741401663,0.374071532067414,0.5753951094453844
top100,4,65565,400,555.0,751,0.06730725234500115,0.3084572561580111,0.598245537274874
top100,5,65565,751,1005.0,1400,0.06044383436284603,0.23700144894379624,0.638637902096431
top100,6,65565,1400,1812.0,2500,0.04914207275223061,0.17806756653702432,0.678672851033621
top100,7,65565,2500,3704.0,6000,0.040646686494318615,0.1491496987722108,0.7197761338624917
top100,8,65565,6000,8900.0,11600,0.03186151147716007,0.13389765881186608,0.8726914623847243
top100,9,65565,11600,15300.0,27200,0.02493708533516358,0.0767787691603752,0.8794027775714252
top100,10,65566,27200,78256.5,301600,0.03992923161394625,0.08234450782417717,0.9416601987224964
101-1000,1,34776,1,29.0,100,0.02610996089256959,0.427938808373591,0.5352594358913662
101-1000,2,34775,100,100.0,100,0.024730409777138748,0.43125808770668583,0.6004479692343369
101-1000,3,34775,100,159.0,200,0.034076204169662117,0.2834795111430625,0.511546631047925
101-1000,4,34775,200,210.0,300,0.03272465851905104,0.240431344356578,0.4917728118457878
101-1000,5,34775,300,342.0,409,0.031085549964054635,0.20028756290438535,0.5296553675220884
101-1000,6,34775,409,508.0,687,0.026714593817397554,0.14875629043853342,0.5556960644255479
101-1000,7,34775,687,838.0,1100,0.019813084112149534,0.10389647735442128,0.6746955346272921
101-1000,8,34775,1100,1500.0,2100,0.012796549245147375,0.06320632638389648,0.7444875050556132
101-1000,9,34775,2100,3400.0,6900,0.008741912293314162,0.04310567936736161,0.822548255479142
101-1000,10,34776,6900,16600.0,190900,0.003076834598573729,0.0270301357257879,0.9759856417095567
rest,1,9677,1,1.0,3,0.009817092073989873,0.2835589542213496,0.5570093457943925
rest,2,9676,3,5.0,14,0.005994212484497726,0.24018189334435716,0.6175095482681418
rest,3,9676,14,30.0,56,0.005374121537825548,0.22581645307978504,0.6526419106821528
rest,4,9676,56,100.0,100,0.0033071517155849523,0.18850764778834228,0.7299436903865061
rest,5,9676,100,100.0,100,0.006821000413393965,0.3068416701116164,0.6967305913798185
rest,6,9676,100,101.0,104,0.0047540305911533695,0.16194708557255064,0.7549068169901634
rest,7,9676,104,126.0,196,0.006097560975609756,0.1090326581231914,0.6673047880373514
rest,8,9676,196,200.0,214,0.0037205456800330715,0.11843737081438611,0.7503009759515281
rest,9,9676,214,300.0,451,0.004960727573377429,0.07647788342290203,0.7244254092324826
rest,10,9677,451,1203.0,51000,0.003203472150459853,0.043091867314250284,0.917202842481988
