tier,decile,n,ahead0_min,ahead0_median,ahead0_max,p_fill,p_fill_upper,cancel_share
top100,1,73734,1,13.0,39,0.04585401578647571,0.49810128299020806,0.6402670508623646
top100,2,73733,39,50.0,85,0.08015406941261037,0.4221447655730812,0.47096095797956733
top100,3,73733,85,120.0,175,0.07977432086040172,0.4148346059430648,0.44775606389884165
top100,4,73733,175,245.0,350,0.07848588827255096,0.39552167957359663,0.5447233866618664
top100,5,73733,350,500.0,703,0.07467484030217135,0.36346005180855245,0.6132451578386925
top100,6,73733,703,1110.0,2428,0.07211153757476299,0.3126822453989394,0.6177830974678159
top100,7,73733,2428,4149.0,6025,0.05254092468772463,0.2641286805094056,0.7238045640357388
top100,8,73733,6025,8200.0,11029,0.045963137265539175,0.23368098409124816,0.83991624057186
top100,9,73733,11029,16743.0,30200,0.031492004936731176,0.12089566408528067,0.8566558809041801
top100,10,73734,30200,56678.0,900000,0.010782000162747172,0.032264626902107574,0.8271377969759413
101-1000,1,42047,1,10.0,25,0.02784978714295907,0.41781815587318955,0.5962191455619229
101-1000,2,42046,25,35.0,50,0.028611520715406936,0.4769062455405984,0.6888918947128503
101-1000,3,42046,50,71.0,100,0.042715121533558484,0.36666983779669887,0.5589284584587298
101-1000,4,42046,100,122.0,145,0.03722113875279456,0.31106407268230035,0.600139535516894
101-1000,5,42046,145,181.0,220,0.03232174285306569,0.2731294296722637,0.5907159182896052
101-1000,6,42046,220,266.0,330,0.03270227845692813,0.2259192313180802,0.5840534071129798
101-1000,7,42046,330,442.0,601,0.028825571992579554,0.17352423536127098,0.5817391473759427
101-1000,8,42046,601,825.0,1510,0.02290348665747039,0.14153546116158494,0.6580888218861587
101-1000,9,42046,1510,2879.0,5320,0.015411691956428674,0.060338676687437566,0.7633872323890133
101-1000,10,42047,5320,12216.0,80704,0.010726092230123434,0.03741051680262563,0.9010827909212912
rest,1,8022,1,4.0,11,0.0057342308651209175,0.18137621540762902,0.5457294943140576
rest,2,8022,11,23.0,40,0.006482174021441037,0.17489404138618797,0.588653720778616
rest,3,8021,40,40.0,40,0.0,0.35681336491709265,0.9990539554555236
rest,4,8022,40,50.0,81,0.004986287708800797,0.1994515083520319,0.7364706237971929
rest,5,8021,81,100.0,101,0.0063583094377259695,0.19411544695175165,0.6374564503754386
rest,6,8022,101,121.0,166,0.006108202443280977,0.10371478434305659,0.543320578663383
rest,7,8021,166,200.0,200,0.0028674728836803392,0.26742301458670986,0.8719140216048006
rest,8,8022,200,254.0,325,0.007853403141361256,0.08526551982049364,0.5610903191925055
rest,9,8021,325,441.0,600,0.008976436853260192,0.07954120433861114,0.582306563161818
rest,10,8022,600,970.0,10400,0.013338319621042134,0.08663674894041386,0.5853882327323274
