tier,session,side,n,cancel_share,filled,anomaly,median_ahead0,median_orders0,censor_moved,censor_exhausted,censor_T,censor_eod,p_fill_1s,p_fill_upper_1s,p_fill_5s,p_fill_upper_5s,p_fill_30s,p_fill_upper_30s,p_fill_60s,p_fill_upper_60s
top100,open,B,22213,0.9048203591907151,0.11691351911043082,0.0,1500.0,4.0,0.4720659073515509,0.3340836447125557,0.07693692882546256,0.0,0.013910772970782874,0.20316931526583532,0.043037860712195564,0.3076126592535902,0.09652005582316661,0.42087966506100033,0.11691351911043082,0.45099716382298655
top100,open,S,22213,0.8745157688550443,0.11871426642056454,0.0,1535.0,4.0,0.4952955476522757,0.3117093593841444,0.07428082654301535,0.0,0.010579390447035519,0.1950209336874803,0.03655517039571422,0.2998694458200153,0.0944041777337595,0.4033223787871967,0.11871426642056454,0.43042362580470894
top100,midday,B,205585,0.8968230395846217,0.12655106160468907,0.0,2100.0,6.0,0.43771189532310234,0.2798550477904516,0.15588199528175695,0.0,0.007772940632828271,0.1367463579541309,0.03160736435051195,0.23939489748765716,0.09584843252182795,0.36527956806187223,0.12655106160468907,0.4064061093951407
top100,midday,S,205585,0.8844800827258044,0.12878857893328793,0.0,1836.0,6.0,0.4276576598487244,0.2875404333973782,0.15601332782060948,0.0,0.007476226378383637,0.1356421917941484,0.03260451881217015,0.2396235133886227,0.09892745093270423,0.3729454969963762,0.12878857893328793,0.41632901233066616
top100,close,B,22657,0.8770250602616121,0.2130908769916582,0.0,2613.0,7.0,0.4055258860396346,0.23851348369157435,0.1369996027717703,0.005870150505362581,0.013064395109679128,0.12040429006488061,0.06064350973209163,0.2406320342499007,0.163613894160745,0.39378558502890937,0.2130908769916582,0.45160436068323256
top100,close,S,22657,0.85961152443929,0.2045725382883877,0.0,2634.0,7.0,0.4410116078916008,0.2032043077194686,0.14445866619587766,0.0067528799046652245,0.011740301010725162,0.10888467140398111,0.05698018272498566,0.2189610274970208,0.16740963057774638,0.3671271571699695,0.2045725382883877,0.4077768460078563
101-1000,open,B,12676,0.6830947852126914,0.07573366992742189,0.0,300.0,3.0,0.5048122436099716,0.3415115178289681,0.07794256863363837,0.0,0.003786683496371095,0.13947617544966867,0.014673398548437994,0.23469548753550015,0.05285579047017987,0.3730672136320606,0.07573366992742189,0.41724518775639
101-1000,open,S,12676,0.7753162576007561,0.08504260018933417,0.0,300.0,2.0,0.4762543389081729,0.3613127169454087,0.07739034395708426,0.0,0.003786683496371095,0.14326285894603977,0.01514673398548438,0.24810665825181447,0.06082360366046071,0.40123067213632063,0.08504260018933417,0.4463553171347428
101-1000,midday,B,121061,0.7639099975227577,0.10648350831399046,0.0,600.0,5.0,0.37833819314230016,0.23585630384682102,0.27932199469688834,0.0,0.002643295528700407,0.07655644674998555,0.012142638834967495,0.14223408033966348,0.06569415418673231,0.28123012365666894,0.10648350831399046,0.3423398121608115
101-1000,midday,S,121061,0.8466045008790207,0.09536514649639438,0.0,622.0,5.0,0.3836826062893913,0.24279495460965958,0.27815729260455474,0.0,0.002279842393504101,0.07513567540330908,0.009904097934099338,0.13954948331832712,0.05647566103038964,0.27792600424579345,0.09536514649639438,0.338160101106054
101-1000,close,B,16821,0.7844888588548465,0.20355507995957434,0.0,1148.0,7.0,0.354378455502051,0.17056060876285595,0.26122109268176685,0.010284763093751858,0.005944949765174484,0.07342012959990488,0.028654657868141014,0.14047916295107307,0.14386778431722252,0.3047381249628441,0.20355507995957434,0.3741156887224303
101-1000,close,S,16821,0.7111118536616627,0.1947565543071161,0.0,1278.0,7.0,0.3857677902621723,0.1585518102372035,0.2552166934189406,0.005707151774567505,0.006658343736995423,0.06884251828072052,0.030021996314131147,0.14024136496046608,0.138160632542655,0.2911241900005945,0.1947565543071161,0.3533083645443196
rest,open,B,5065,0.9704715836662925,0.010661401776900297,0.0,200.0,2.0,0.45449160908193487,0.36762092793682133,0.16722606120434352,0.0,0.0005923000987166831,0.11470878578479764,0.0023692003948667323,0.1903257650542942,0.008489634748272457,0.33247778874629813,0.010661401776900297,0.3782823297137216
rest,open,S,5065,0.9716282092119514,0.015597235932872655,0.0,200.0,2.0,0.45725567620927937,0.3847976307996051,0.14234945705824284,0.0,0.0007897334649555774,0.10463968410661402,0.0019743336623889436,0.19605133267522212,0.011056268509378084,0.36090819348469894,0.015597235932872655,0.40039486673247776
rest,midday,B,45930,0.9766227372523612,0.02268669714783366,0.0,400.0,2.0,0.39039843239712607,0.3212497278467233,0.26566514260831703,0.0,0.0013498802525582407,0.07335075114304376,0.0028739386022207706,0.13085129544959723,0.012606139777922926,0.28049205312431963,0.02268669714783366,0.34393642499455696
rest,midday,S,45930,0.9743206487101992,0.021423905943827565,0.0,400.0,2.0,0.37918571739603746,0.33159155236229043,0.2677988242978446,0.0,0.0005443065534509035,0.08044850860004354,0.0015240583496625298,0.14509035488787286,0.011147398214674505,0.2866971478336599,0.021423905943827565,0.353015458306118
rest,close,B,6538,0.9275187224662218,0.09559498317528296,0.0,488.5,2.0,0.36111960844294894,0.3371061486693178,0.19593147751605997,0.010247782196390333,0.0019883756500458857,0.0864178647904558,0.009024166411746712,0.16840012236157847,0.05460385438972163,0.34643621902722543,0.09559498317528296,0.4327011318446008
rest,close,S,6538,0.946613453912724,0.07693484245946773,0.0,524.0,3.0,0.3840624044050168,0.29014989293361887,0.2430406852248394,0.005812174977057204,0.0015295197308045274,0.07586417864790455,0.009330070357907618,0.14377485469562556,0.04649739981645763,0.291220556745182,0.07693484245946773,0.36708473539308656
