tier,session,side,n,cancel_share,filled,anomaly,median_ahead0,median_orders0,censor_moved,censor_exhausted,censor_T,censor_eod,p_fill_1s,p_fill_upper_1s,p_fill_5s,p_fill_upper_5s,p_fill_30s,p_fill_upper_30s,p_fill_60s,p_fill_upper_60s
top100,open,B,31520,0.6144873088086026,0.13010786802030458,0.0,487.0,4.0,0.5116751269035533,0.34213197969543147,0.01608502538071066,0.0,0.028458121827411167,0.27810913705583756,0.06894035532994924,0.3848032994923858,0.11944796954314721,0.45948604060913706,0.13010786802030458,0.472239847715736
top100,open,S,31520,0.8357514202845181,0.1226522842639594,0.0,473.5,4.0,0.5180520304568528,0.34254441624365484,0.016751269035532996,0.0,0.02839467005076142,0.27065355329949237,0.0686230964467005,0.3774746192893401,0.11548223350253807,0.45291878172588834,0.1226522842639594,0.4651967005076142
top100,midday,B,307539,0.8532404870671043,0.1547283433970976,0.0,700.0,5.0,0.46660098394024824,0.29237917792540136,0.08629149473725284,0.0,0.016635288532511325,0.18668201431363177,0.053485899349350816,0.3025014713581042,0.12800002601296095,0.4161455945424808,0.1547283433970976,0.4471075213224989
top100,midday,S,307539,0.8139809844608655,0.14918433109296708,0.0,718.0,5.0,0.47063949612894623,0.2937351035153265,0.08644106926276017,0.0,0.016124784173714553,0.18609672269208133,0.04983758157501975,0.2974419504518126,0.12156181817590614,0.41015285866182827,0.14918433109296708,0.4429194346082936
top100,close,B,29607,0.809384311701535,0.2193400209409937,0.0,1277.0,8.0,0.46320126996993954,0.20731583747086837,0.10774479008342622,0.002398081534772182,0.03512682811497281,0.1728645252811835,0.092579457560712,0.2778059242746648,0.19194785017056776,0.39480528253453573,0.2193400209409937,0.42665585841186204
top100,close,S,29607,0.7994071955629761,0.23805181207146958,0.0,1179.0,9.0,0.4418549667308407,0.2104232107271929,0.10615732765899956,0.003512682811497281,0.04360455297733644,0.17786334312831426,0.11179788563515385,0.29374810011146013,0.2103894349309285,0.41679332590265816,0.23805181207146958,0.44847502279866247
101-1000,open,B,18290,0.8073127854781088,0.08633132859486058,0.0,135.0,2.0,0.5007107709130673,0.38250410060142154,0.03045379989065063,0.0,0.008529250956806999,0.21897211591033353,0.02689994532531438,0.32219792236194644,0.07085839256424276,0.4412247129579005,0.08633132859486058,0.4688354291962821
101-1000,open,S,18290,0.8800701438215284,0.08939311098961181,0.0,129.0,2.0,0.5518862766539092,0.32963367960634227,0.029086932750136688,0.0,0.009075997813012575,0.20016402405686168,0.028704209950792783,0.2985784581738655,0.07217058501913615,0.39529797703663205,0.08939311098961181,0.41902679059595405
101-1000,midday,B,171473,0.8711033696732781,0.10983070220967732,0.0,208.0,4.0,0.44484554419646244,0.31064365818525363,0.1346800954086066,0.0,0.006070926618184787,0.152257206673937,0.024540306637196526,0.24554303009803294,0.08369247636654167,0.37815866054714153,0.10983070220967732,0.42047436039493097
101-1000,midday,S,171473,0.8802328919496848,0.10797618283928082,0.0,224.0,4.0,0.46596840318884025,0.29290325590617766,0.1331521580657013,0.0,0.005989281111311985,0.15050182827617176,0.023029864760049687,0.23811328897260794,0.08167466598239956,0.3631475509263849,0.10797618283928082,0.40087943874545845
101-1000,close,B,20468,0.7068217217792224,0.22327535665428963,0.0,526.0,5.0,0.4277408637873754,0.22718389681453977,0.11642564002345124,0.005374242720343952,0.01753957396912253,0.14539769396130545,0.06893687707641195,0.25630252100840334,0.1824799687316787,0.4065370334180184,0.22327535665428963,0.45045925346882937
101-1000,close,S,20468,0.7842248799937158,0.19073675982020716,0.0,417.0,5.0,0.46125659566152044,0.21975767051006448,0.12360758256791088,0.004641391440297049,0.014315028336916162,0.139828024232949,0.05657611881962087,0.24047293335939027,0.1578561657221028,0.3753664256400234,0.19073675982020716,0.41049443033027166
rest,open,B,3854,0.8381104581228306,0.01842241826673586,0.0,100.0,1.0,0.4325376232485729,0.3860923715620135,0.16294758692267775,0.0,0.0007784120394395433,0.19304618578100674,0.0031136481577581734,0.27244421380384015,0.013492475350285417,0.3700051894135963,0.01842241826673586,0.40451478982874933
rest,open,S,3854,0.8627253914796793,0.019979242345614944,0.0,100.0,1.0,0.4683445770627919,0.39335755059678257,0.11831862999481059,0.0,0.0020757654385054488,0.16969382459782045,0.0036325895173845357,0.26388168137000517,0.015049299429164505,0.3697457187337831,0.019979242345614944,0.4133367929423975
rest,midday,B,31453,0.656188259032322,0.0398054239659174,0.0,100.0,1.0,0.39834038088576607,0.30146567894954374,0.2603885161987728,0.0,0.001557880011445649,0.0903252471942263,0.003942390233046132,0.16618446571074302,0.023082058945092677,0.2915779098973071,0.0398054239659174,0.34127110291546114
rest,midday,S,31453,0.6826143803524307,0.04762661749276698,0.0,115.0,2.0,0.4090229866785362,0.29097383397450166,0.25237656185419516,0.0,0.001271738784853591,0.08759100880679109,0.0038152163545607733,0.16383174895876387,0.02680189489078943,0.2915779098973071,0.04762661749276698,0.33860045146726864
rest,close,B,4801,0.4885538776750092,0.14788585711310143,0.0,200.0,3.0,0.3861695480108311,0.2189127265153093,0.23141012289106436,0.015621745469693814,0.005207248489897938,0.08039991668402416,0.02436992293272235,0.1545511351801708,0.11122682774421995,0.3118100395750885,0.14788585711310143,0.3667985836284107
rest,close,S,4801,0.40835640194816586,0.13976254946886066,0.0,300.0,4.0,0.41720474901062277,0.2022495313476359,0.22307852530722766,0.01770464486565299,0.0047906686107061025,0.06977712976463236,0.02416163299312643,0.14205373880441574,0.09706311185169757,0.28473234742761927,0.13976254946886066,0.3420120808164966
