minute,bid,bidSh,ask,askSh
34200000000000,3204500,11,3207800,10
34260000000000,3211100,100,3212300,138
34320000000000,3220100,179,3220800,400
34380000000000,3224600,30,3225500,100
34440000000000,3224400,100,3224800,20
34500000000000,3230800,100,3231500,690
34560000000000,3230100,100,3231100,100
34620000000000,3236000,100,3237000,161
34680000000000,3233100,677,3233500,100
34740000000000,3236500,105,3237000,100
34800000000000,3239400,332,3239900,397
34860000000000,3236600,100,3237200,95
34920000000000,3233600,200,3233900,7
34980000000000,3234000,100,3234400,169
35040000000000,3235200,400,3235600,100
35100000000000,3235900,100,3236200,300
35160000000000,3237700,335,3238500,116
35220000000000,3237500,32,3237900,400
35280000000000,3237300,200,3237500,212
35340000000000,3233200,340,3233700,200
35400000000000,3232100,50,3232600,200
35460000000000,3228100,100,3228500,280
35520000000000,3229000,1,3229600,100
35580000000000,3226500,48,3226700,100
35640000000000,3223600,100,3224000,100
35700000000000,3224600,100,3225200,100
35760000000000,3227900,50,3228400,100
35820000000000,3224700,100,3225200,100
35880000000000,3224400,20,3224500,169
35940000000000,3223700,100,3223900,38
36000000000000,3223400,100,3223900,100
36060000000000,3224400,200,3224500,141
36120000000000,3224200,105,3224700,100
36180000000000,3225800,10,3225900,150
36240000000000,3224300,200,3224700,400
36300000000000,3224000,210,3224500,100
36360000000000,3228000,269,3228200,86
36420000000000,3229900,20,3230300,100
36480000000000,3231100,100,3231400,62
36540000000000,3232500,100,3233000,50
36600000000000,3234100,168,3234400,300
36660000000000,3234000,200,3234400,20
36720000000000,3235200,100,3235500,100
36780000000000,3231000,200,3231600,100
36840000000000,3231400,100,3231700,100
36900000000000,3231700,100,3232200,100
36960000000000,3231700,15,3231900,20
37020000000000,3229700,500,3230100,10
37080000000000,3228000,300,3228300,100
37140000000000,3227100,86,3227500,100
37200000000000,3227100,200,3227600,109
37260000000000,3227700,1215,3227900,100
37320000000000,3226500,100,3226800,100
37380000000000,3228600,100,3229000,100
37440000000000,3227800,352,3228200,100
37500000000000,3226100,100,3226600,100
37560000000000,3226500,100,3226700,100
37620000000000,3225100,200,3225400,200
37680000000000,3228000,120,3228300,45
37740000000000,3228300,499,3228700,100
37800000000000,3226400,100,3226600,151
37860000000000,3225500,100,3225800,100
37920000000000,3223700,100,3224200,100
37980000000000,3223300,100,3223900,100
38040000000000,3224500,542,3224900,100
38100000000000,3223600,300,3224000,100
38160000000000,3222900,200,3223300,200
38220000000000,3221000,100,3221300,100
38280000000000,3220100,500,3220600,100
38340000000000,3218700,293,3218800,200
38400000000000,3217000,20,3217300,168
38460000000000,3217000,100,3217300,100
38520000000000,3215400,46,3215800,401
38580000000000,3215700,200,3216000,101
38640000000000,3217200,100,3217500,100
38700000000000,3216400,100,3216900,100
38760000000000,3213000,1695,3213300,100
38820000000000,3213600,100,3213900,76
38880000000000,3212000,100,3212200,100
38940000000000,3213400,50,3213700,16
39000000000000,3214100,100,3214500,100
39060000000000,3213300,100,3213600,100
39120000000000,3213100,300,3213500,100
39180000000000,3209600,89,3209900,102
39240000000000,3204500,200,3205100,100
39300000000000,3203800,40,3204200,100
39360000000000,3197700,100,3198200,133
39420000000000,3198500,100,3198700,119
39480000000000,3198200,100,3199000,200
39540000000000,3194200,239,3194400,100
39600000000000,3189100,152,3189800,100
39660000000000,3193800,100,3194200,100
39720000000000,3197600,200,3198200,78
39780000000000,3195000,150,3195500,100
39840000000000,3197900,100,3198200,100
39900000000000,3198200,200,3198800,200
39960000000000,3201000,1,3201300,100
40020000000000,3201400,111,3201900,109
40080000000000,3199000,1550,3199600,200
40140000000000,3199600,12,3200000,201
40200000000000,3199800,151,3200000,490
40260000000000,3202300,200,3202600,100
40320000000000,3205700,100,3206000,177
40380000000000,3204500,200,3205100,100
40440000000000,3205500,100,3205900,100
40500000000000,3208100,100,3208300,100
40560000000000,3207600,15,3207900,46
40620000000000,3206800,200,3207100,25
40680000000000,3209100,26,3209500,173
40740000000000,3209300,200,3209600,212
40800000000000,3211500,400,3211800,215
40860000000000,3210700,201,3211000,55
40920000000000,3211100,31,3211500,150
40980000000000,3211200,102,3211400,98
41040000000000,3212400,100,3212800,200
41100000000000,3214700,102,3215000,1015
41160000000000,3213100,100,3213500,100
41220000000000,3213600,261,3213900,200
41280000000000,3214000,400,3214400,200
41340000000000,3215500,300,3216000,79
41400000000000,3215000,6201,3215400,300
41460000000000,3213600,100,3213800,200
41520000000000,3212400,19,3212700,100
41580000000000,3212700,200,3213500,100
41640000000000,3211600,100,3211900,5
41700000000000,3212300,193,3212500,77
41760000000000,3212300,100,3212800,100
41820000000000,3218000,300,3218500,798
41880000000000,3217500,100,3218000,190
41940000000000,3217800,177,3218300,200
42000000000000,3215500,100,3215900,102
42060000000000,3216700,400,3217000,100
42120000000000,3218600,100,3219100,200
42180000000000,3218500,90,3218900,20
42240000000000,3215000,100,3215300,100
42300000000000,3214600,130,3215000,120
42360000000000,3216800,1,3217000,100
42420000000000,3217500,100,3217700,100
42480000000000,3219400,100,3219900,29
42540000000000,3218900,127,3219300,100
42600000000000,3218500,400,3219000,100
42660000000000,3221900,100,3222200,154
42720000000000,3220600,200,3221300,100
42780000000000,3220700,102,3220900,100
42840000000000,3223900,100,3224500,459
42900000000000,3224800,100,3225400,103
42960000000000,3221100,100,3221600,200
43020000000000,3223500,300,3224100,50
43080000000000,3221000,34,3221600,300
43140000000000,3219900,388,3220300,400
43200000000000,3219200,15,3219500,200
43260000000000,3218400,100,3218800,100
43320000000000,3219300,300,3219700,100
43380000000000,3219100,15,3219400,110
43440000000000,3218800,200,3219300,2
43500000000000,3219800,100,3220200,99
43560000000000,3218200,9,3218600,200
43620000000000,3218600,206,3218800,15
43680000000000,3216900,157,3217300,100
43740000000000,3215700,200,3216300,300
43800000000000,3215800,210,3216000,24
43860000000000,3215300,100,3215600,129
43920000000000,3215800,400,3216200,100
43980000000000,3214800,255,3215200,302
44040000000000,3213000,200,3213200,1
44100000000000,3214100,12,3214300,100
44160000000000,3214400,100,3214800,200
44220000000000,3213500,107,3214000,241
44280000000000,3213400,100,3213600,68
44340000000000,3215600,10,3216000,323
44400000000000,3216800,1,3217000,15
44460000000000,3218000,107,3218500,100
44520000000000,3217200,60,3217700,200
44580000000000,3216400,100,3216900,200
44640000000000,3217800,200,3218200,120
