minute,bid,bidSh,ask,askSh
34200000000000,2780900,2,2781000,95
34260000000000,2785800,139,2786400,21
34320000000000,2793000,210,2794000,103
34380000000000,2793500,11,2794000,212
34440000000000,2792400,35,2793300,121
34500000000000,2791000,235,2791400,2
34560000000000,2782700,65,2783300,16
34620000000000,2785400,110,2786000,211
34680000000000,2782800,300,2783500,149
34740000000000,2781300,100,2781600,221
34800000000000,2776900,2,2777100,191
34860000000000,2775600,167,2775900,119
34920000000000,2778000,204,2778300,210
34980000000000,2777500,60,2777900,20
35040000000000,2775200,25,2775600,84
35100000000000,2778700,135,2779000,20
35160000000000,2780100,35,2780800,243
35220000000000,2781000,240,2781300,81
35280000000000,2779500,45,2779800,59
35340000000000,2777500,291,2777800,33
35400000000000,2778000,65,2778400,285
35460000000000,2777900,278,2778300,268
35520000000000,2776700,434,2777000,5
35580000000000,2778800,63,2779200,10
35640000000000,2776400,136,2776700,40
35700000000000,2777200,77,2777500,51
35760000000000,2775500,308,2775900,236
35820000000000,2776000,115,2776200,110
35880000000000,2776700,156,2776900,481
35940000000000,2778000,1,2778200,60
36000000000000,2779400,100,2779600,87
36060000000000,2781300,106,2781600,382
36120000000000,2780900,364,2781200,20
36180000000000,2780400,100,2780700,352
36240000000000,2776500,400,2776700,318
36300000000000,2776300,335,2776500,48
36360000000000,2778200,180,2778700,76
36420000000000,2778500,90,2778700,286
36480000000000,2778600,525,2778900,136
36540000000000,2778000,50,2778300,35
36600000000000,2780400,158,2780700,188
36660000000000,2779100,375,2779300,40
36720000000000,2781900,30,2782100,25
36780000000000,2781600,137,2781800,92
36840000000000,2780700,3,2780800,293
36900000000000,2780100,196,2780300,292
36960000000000,2779500,100,2779800,450
37020000000000,2778000,135,2778200,20
37080000000000,2779500,560,2779800,35
37140000000000,2779800,111,2779900,30
37200000000000,2779200,137,2779500,281
37260000000000,2783900,110,2784100,178
37320000000000,2783900,36,2784100,33
37380000000000,2781800,65,2782200,332
37440000000000,2779600,206,2779800,409
37500000000000,2779000,48,2779300,68
37560000000000,2777700,35,2778000,194
37620000000000,2778400,109,2778700,245
37680000000000,2777500,84,2777800,25
37740000000000,2775300,30,2775500,36
37800000000000,2775600,25,2775800,70
37860000000000,2775300,104,2775500,402
37920000000000,2776500,35,2776700,35
37980000000000,2776800,200,2776900,46
38040000000000,2778300,1225,2778500,189
38100000000000,2778000,409,2778100,610
38160000000000,2777500,429,2777700,40
38220000000000,2775600,335,2775900,82
38280000000000,2775200,35,2775300,56
38340000000000,2773800,219,2774000,302
38400000000000,2773000,483,2773100,40
38460000000000,2772000,31,2772400,309
38520000000000,2771600,98,2771800,238
38580000000000,2771700,1526,2771800,10
38640000000000,2773000,1025,2773200,188
38700000000000,2773700,80,2774100,141
38760000000000,2774400,35,2774600,184
38820000000000,2774100,501,2774300,333
38880000000000,2774100,165,2774200,1
38940000000000,2774800,100,2775000,174
39000000000000,2773700,286,2774000,305
39060000000000,2774600,135,2774800,45
39120000000000,2773600,625,2773800,298
39180000000000,2773500,142,2773700,195
39240000000000,2773500,228,2773600,186
39300000000000,2773200,1104,2773300,369
39360000000000,2771700,638,2771900,762
39420000000000,2772600,55,2772800,302
39480000000000,2773800,35,2774100,1142
39540000000000,2771100,1135,2771300,438
39600000000000,2773300,35,2773600,190
39660000000000,2771300,1035,2771700,250
39720000000000,2769300,100,2769500,55
39780000000000,2769600,55,2769800,25
39840000000000,2774700,35,2775000,44
39900000000000,2775200,406,2775500,72
39960000000000,2775200,25,2775600,85
40020000000000,2775300,338,2775500,45
40080000000000,2777100,145,2777300,106
40140000000000,2776600,25,2776900,60
40200000000000,2775400,151,2775600,10
40260000000000,2772200,200,2772500,111
40320000000000,2773600,99,2773700,70
40380000000000,2773300,247,2773400,10
40440000000000,2774400,200,2774500,35
40500000000000,2772600,40,2772800,164
40560000000000,2771900,115,2772000,35
40620000000000,2772100,353,2772300,523
40680000000000,2771300,630,2771500,232
40740000000000,2771100,359,2771400,43
40800000000000,2768200,84,2768400,135
40860000000000,2769000,275,2769200,166
40920000000000,2768800,80,2769000,35
40980000000000,2767900,137,2768200,73
41040000000000,2767200,85,2767300,3
41100000000000,2768600,183,2768900,65
41160000000000,2768400,1455,2768700,55
41220000000000,2769200,59,2769300,55
41280000000000,2770000,228,2770100,30
41340000000000,2775200,164,2775400,200
41400000000000,2774600,225,2774700,30
41460000000000,2774800,288,2774900,68
41520000000000,2774400,426,2774600,367
41580000000000,2771700,100,2771800,35
41640000000000,2772500,20,2772700,88
41700000000000,2771300,800,2771500,113
41760000000000,2770600,177,2770800,35
41820000000000,2771300,245,2771500,66
41880000000000,2770800,192,2770900,462
41940000000000,2770500,100,2770700,36
42000000000000,2770200,87,2770300,85
42060000000000,2770100,179,2770400,85
42120000000000,2770600,155,2770900,25
42180000000000,2772400,100,2772600,87
42240000000000,2772700,300,2773000,225
42300000000000,2774700,600,2774900,35
42360000000000,2774700,811,2775000,60
42420000000000,2774400,525,2774500,15
42480000000000,2774200,99,2774300,25
42540000000000,2775200,235,2775400,154
42600000000000,2774700,496,2774800,40
42660000000000,2775500,243,2775800,60
42720000000000,2776800,31,2777000,329
42780000000000,2775300,183,2775500,125
42840000000000,2774900,41,2775200,160
42900000000000,2775000,356,2775200,25
42960000000000,2775200,420,2775400,191
43020000000000,2774100,71,2774200,35
43080000000000,2774100,35,2774300,245
43140000000000,2774800,340,2775000,74
43200000000000,2774700,335,2774900,89
43260000000000,2772200,155,2772500,369
43320000000000,2773300,225,2773600,235
43380000000000,2771500,41,2771700,229
43440000000000,2772300,235,2772600,538
43500000000000,2771400,170,2771600,35
43560000000000,2770900,140,2771100,741
43620000000000,2770700,753,2770900,86
43680000000000,2771500,313,2771600,131
43740000000000,2771800,435,2772000,128
43800000000000,2772500,95,2772700,35
43860000000000,2771300,200,2771400,135
43920000000000,2771100,205,2771300,230
43980000000000,2771000,404,2771200,106
44040000000000,2771700,278,2771800,240
44100000000000,2772000,135,2772200,336
44160000000000,2773000,407,2773200,230
44220000000000,2774300,720,2774500,173
44280000000000,2774900,245,2775100,287
44340000000000,2776800,299,2776900,36
44400000000000,2775700,110,2775900,45
