tier,session,h,block,n,vol,w_eff,w_real,w_impact
101-1000,close,1s,186,74674,7475244.0,71408286.23363227,-20195876.802812997,91604163.03644519
101-1000,close,1s,187,72987,7119784.0,53441898.871085085,-17621114.142560083,71063013.01364516
101-1000,close,1s,188,90905,9415778.0,73749208.15158561,-26353449.05898598,100102657.21057157
101-1000,close,1s,189,98289,10159662.0,66698405.67301668,-19928309.977917258,86626715.65093395
101-1000,close,1s,190,141335,15158660.0,98331313.77335493,-8821769.441532563,107153083.2148875
101-1000,close,1s,191,200425,27398505.0,232995149.55180886,-4311153.117889249,237306302.66969815
101-1000,close,30s,186,74674,7475244.0,71408286.23363224,-44725240.40107094,116133526.63470319
101-1000,close,30s,187,72987,7119784.0,53441898.87108508,-22049646.890633382,75491545.76171845
101-1000,close,30s,188,90905,9415778.0,73749208.1515856,-32421141.798412036,106170349.94999765
101-1000,close,30s,189,98289,10159662.0,66698405.6730167,-27806663.393447958,94505069.06646466
101-1000,close,30s,190,141335,15158660.0,98331313.7733549,-14817905.403301815,113149219.17665675
101-1000,close,30s,191,200425,27398505.0,232995149.55180883,-50663077.4177633,283658226.9695724
101-1000,close,5s,186,74674,7475244.0,71408286.2336322,-33616724.43451106,105025010.6681433
101-1000,close,5s,187,72987,7119784.0,53441898.87108507,-20619685.17271456,74061584.04379965
101-1000,close,5s,188,90905,9415778.0,73749208.15158561,-29932859.6330902,103682067.78467582
101-1000,close,5s,189,98289,10159662.0,66698405.6730167,-24015954.268254608,90714359.9412713
101-1000,close,5s,190,141335,15158660.0,98331313.77335489,-16680073.189484412,115011386.96283932
101-1000,close,5s,191,200425,27398505.0,232995149.5518088,-38796868.12789882,271792017.6797077
101-1000,midday,1s,120,62712,7092073.0,98161691.14410289,-50252831.93268594,148414523.0767889
101-1000,midday,1s,121,56974,6620468.0,84275174.98219578,-18393077.60245164,102668252.58464742
101-1000,midday,1s,122,55582,6104817.0,70468965.24651548,-25688027.691588182,96156992.93810366
101-1000,midday,1s,123,55678,6646114.0,113551805.46035346,-16709585.771112315,130261391.23146573
101-1000,midday,1s,124,50977,5854378.0,118152490.74271663,17934847.10726153,100217643.63545515
101-1000,midday,1s,125,46168,5145600.0,64494762.636506274,-17286738.08969786,81781500.72620413
101-1000,midday,1s,126,58407,6476908.0,81524537.21079564,-19920156.36864888,101444693.57944451
101-1000,midday,1s,127,56762,6063535.0,66355477.36011889,-9779840.11342406,76135317.47354296
101-1000,midday,1s,128,54866,6156636.0,82675823.04053335,-11673870.163084686,94349693.20361803
101-1000,midday,1s,129,57454,6572374.0,93390073.23213905,-36660664.12331382,130050737.35545288
101-1000,midday,1s,130,59762,6908739.0,85221772.56299362,-33382214.21806668,118603986.78106032
101-1000,midday,1s,131,55241,6300532.0,68472123.24923697,-14035066.651531786,82507189.90076877
101-1000,midday,1s,132,51621,5838267.0,73895628.86229275,-15807233.999129489,89702862.86142224
101-1000,midday,1s,133,46474,5063628.0,72291173.87749673,-8691696.311014328,80982870.18851112
101-1000,midday,1s,134,49213,5467846.0,71577067.24254045,-17959991.174756654,89537058.41729711
101-1000,midday,1s,135,45117,4925230.0,55069822.70762452,-10309586.369116163,65379409.07674066
101-1000,midday,1s,136,45123,4312696.0,41462514.70777879,-9855767.527349882,51318282.23512867
101-1000,midday,1s,137,42636,4320503.0,42126955.41178572,-6844782.573839455,48971737.98562517
101-1000,midday,1s,138,45780,4850280.0,50866308.30694876,-15107445.87389166,65973754.18084042
101-1000,midday,1s,139,44091,4776450.0,182031219.21132877,116088175.70456032,65943043.50676811
101-1000,midday,1s,140,42383,4323510.0,169582043.86845654,102622936.26873998,66959107.5997165
101-1000,midday,1s,141,43915,4557557.0,46408150.268460505,-16118077.51049712,62526227.77895761
101-1000,midday,1s,142,37416,3949870.0,41972464.223626405,-10214151.105923198,52186615.329549596
101-1000,midday,1s,143,37010,3716320.0,43221737.698922805,-40311822.275857806,83533559.97478068
101-1000,midday,1s,144,34023,3251486.0,36670066.97815781,-10091098.277465032,46761165.25562284
101-1000,midday,1s,145,35759,3816977.0,43393739.189860575,-20682533.056539193,64076272.24639977
101-1000,midday,1s,146,35075,3462898.0,38756997.645803735,-29300550.855797015,68057548.50160073
101-1000,midday,1s,147,37108,3761309.0,35837337.857586935,-18420888.974202976,54258226.83178991
101-1000,midday,1s,148,31044,2732559.0,23516569.303613476,-2955164.587302873,26471733.89091635
101-1000,midday,1s,149,39599,3744559.0,34130115.80274381,-11496847.180351214,45626962.98309502
101-1000,midday,1s,150,36284,3381793.0,30350017.38086735,-14061378.950644115,44411396.33151146
101-1000,midday,1s,151,58292,6128456.0,50287107.337692104,-29688653.96545133,79975761.30314344
101-1000,midday,1s,152,37862,3951590.0,49686697.00572656,-23716280.012903277,73402977.01862982
101-1000,midday,1s,153,38210,3933517.0,55459301.82055999,622351.5266623556,54836950.29389764
101-1000,midday,1s,154,38860,4004916.0,33404426.63839677,-16672229.911907177,50076656.550303936
101-1000,midday,1s,155,31511,3058171.0,32492019.418220446,-3241027.312898859,35733046.731119305
101-1000,midday,1s,156,34863,3395428.0,37852572.72824973,-9078525.258314691,46931097.986564405
101-1000,midday,1s,157,32925,3136592.0,31314588.69719055,-7221460.239615078,38536048.93680563
101-1000,midday,1s,158,33794,3291806.0,36607247.31732931,-5843751.275564526,42450998.59289383
101-1000,midday,1s,159,34423,3219942.0,30792171.753250957,-12681669.92433319,43473841.67758414
101-1000,midday,1s,160,31631,3179030.0,30023880.980989728,-9537560.540134197,39561441.52112393
101-1000,midday,1s,161,31367,3182035.0,32498574.530790187,-3102989.678100153,35601564.20889034
101-1000,midday,1s,162,37583,3570608.0,37559363.349586196,-25518298.111534532,63077661.461120725
101-1000,midday,1s,163,30748,2835475.0,23385984.78429937,-17411697.03766651,40797681.82196588
101-1000,midday,1s,164,29684,2918312.0,36349195.078710884,-14915842.151184121,51265037.22989501
101-1000,midday,1s,165,31493,2941728.0,33535676.490811747,-1387033.8066978622,34922710.29750961
