tier,session,h,block,n,vol,w_eff,w_real,w_impact
101-1000,close,1s,186,91126,7653391.0,71531908.60530497,-34237882.964278616,105769791.5695836
101-1000,close,1s,187,86361,7573950.0,76649172.91016304,-24761839.975104634,101411012.88526769
101-1000,close,1s,188,94454,8537796.0,94703392.14172392,-48934145.75321058,143637537.89493454
101-1000,close,1s,189,116430,10735268.0,116569813.10127728,-67705226.51668969,184275039.6179669
101-1000,close,1s,190,232987,21962353.0,196961416.0000727,-108749670.13223645,305711086.13230914
101-1000,close,1s,191,506771,57890909.0,503205920.46229064,-159181828.23839027,662387748.7006811
101-1000,close,30s,186,91126,7653391.0,71531908.60530496,-40049441.54476436,111581350.15006934
101-1000,close,30s,187,86361,7573950.0,76649172.91016304,-35611934.30187796,112261107.21204107
101-1000,close,30s,188,94454,8537796.0,94703392.14172393,-35430349.39702552,130133741.53874937
101-1000,close,30s,189,116430,10735268.0,116569813.1012773,-137594157.69568747,254163970.79696473
101-1000,close,30s,190,232987,21962353.0,196961416.00007278,-153249844.88588235,350211260.8859551
101-1000,close,30s,191,506771,57890909.0,503205920.4622905,-217059135.86287844,720265056.3251693
101-1000,close,5s,186,91126,7653391.0,71531908.60530497,-27120402.031243272,98652310.63654825
101-1000,close,5s,187,86361,7573950.0,76649172.91016304,-33325239.583667144,109974412.49383022
101-1000,close,5s,188,94454,8537796.0,94703392.1417239,-58047610.270834714,152751002.41255865
101-1000,close,5s,189,116430,10735268.0,116569813.10127726,-75120276.76153916,191690089.86281636
101-1000,close,5s,190,232987,21962353.0,196961416.00007275,-118367326.3682748,315328742.3683474
101-1000,close,5s,191,506771,57890909.0,503205920.46229064,-207532378.85226575,710738299.3145566
101-1000,midday,1s,120,109156,9806967.0,133004362.59119183,-55525941.31506941,188530303.90626106
101-1000,midday,1s,121,105783,9714362.0,141462255.81901196,-83323662.19427337,224785918.0132854
101-1000,midday,1s,122,94792,8733259.0,139462731.82670748,-64473066.38386311,203935798.2105706
101-1000,midday,1s,123,89408,7869034.0,90439243.45615518,-71404864.33763282,161844107.79378802
101-1000,midday,1s,124,85361,6985227.0,87470875.10650529,-44681869.33315558,132152744.43966086
101-1000,midday,1s,125,93812,8297881.0,97033588.89381841,-48612091.64366409,145645680.53748253
101-1000,midday,1s,126,84214,7216809.0,89139982.30264536,-58476565.34900665,147616547.651652
101-1000,midday,1s,127,80529,6744802.0,77574922.53093824,-32321716.49502458,109896639.02596281
101-1000,midday,1s,128,77322,6959444.0,85747961.8739449,-39254507.21883071,125002469.0927756
101-1000,midday,1s,129,71621,5866287.0,83926471.08978972,-10219348.410750104,94145819.50053982
101-1000,midday,1s,130,77281,6665347.0,86570085.94453637,-60265347.32749543,146835433.27203184
101-1000,midday,1s,131,79268,7019111.0,488570572.98474956,64392096.60397243,424178476.3807771
101-1000,midday,1s,132,87391,7789148.0,596195824.1008042,460743137.1460217,135452686.95478255
101-1000,midday,1s,133,69610,5964080.0,69266888.34579183,-35642924.54322356,104909812.88901539
