tier,session,h,n_exec,volume,blocks,eff,eff_lo,eff_hi,real,real_lo,real_hi,impact,impact_lo,impact_hi
top100,open,1s,172820,40829647,6,24.345072810712388,20.92597936131506,27.082132096327168,-1.4656973967055567,-4.267171985978972,1.8918564317274247,25.810770207417928,22.52380397104387,29.423543391761925
top100,open,5s,172820,40829647,6,24.311181664076678,20.881971613582557,27.498145137937346,-9.522862140010757,-13.107925311617334,-6.375993984642594,33.83404380408742,28.631134732754884,39.23590623979554
top100,open,30s,172820,40829647,6,24.29301920289271,21.00328504774164,27.269915710533102,-25.1466196360981,-34.11510425404484,-17.897431040320296,49.439638838990724,41.46443127268381,59.79272211434507
top100,midday,1s,654374,172281578,66,23.485518116025734,20.806475330731242,26.881099198343446,-1.0242172645168863,-3.3729539968638425,1.734868877017111,24.509735380542622,22.079431066170958,27.630449227352518
top100,midday,5s,654374,172281578,66,23.45950897363443,20.64333544371946,26.755193673385406,-6.488673370180217,-8.667460377804538,-3.9664464336060505,29.94818234381465,27.207879691019162,32.981190533242454
top100,midday,30s,654374,172281578,66,23.476169694178562,20.795252087782977,26.774366817784944,-15.559182955335451,-20.71019028823174,-11.443115693702625,39.03535264951401,34.117990336045565,44.78523862782085
top100,close,1s,111986,35036002,6,35.03358885199814,26.806800573714206,41.939124561051074,-1.145360757179546,-2.991396234425559,1.5400820873107823,36.17894960917762,26.735123221972188,43.07045089103947
top100,close,5s,111986,35036002,6,34.975775361408715,26.78107283284497,39.90655337651647,2.91349814059584,-13.939027341449778,14.160624542165351,32.06227722081293,21.789311094896796,51.104808596734294
top100,close,30s,111986,35036002,6,34.998954216108565,26.789967945499402,41.44383802564179,-0.8555730632372144,-31.03533058891371,16.404258634653694,35.854527279345604,20.337826514850597,65.62293891196175
101-1000,open,1s,294204,39535667,6,26.38188631085101,20.5448474258369,31.839256512793398,-3.3135426774898673,-5.291296876310868,-0.5186670121549012,29.695428988340872,24.14039797842544,35.19624684008192
101-1000,open,5s,294204,39535667,6,26.435152850793507,20.585413390024645,32.14096742166683,-6.815633665301667,-8.446141358438135,-4.615610116701078,33.250786516095175,27.4285575780331,40.07904969410489
101-1000,open,30s,294204,39535667,6,26.470987268589422,20.386373393970548,31.700411916102155,-11.633545520641691,-15.429624354535683,-8.885952798358174,38.10453278923111,29.468328234457196,46.917453815637145
101-1000,midday,1s,1792417,203774850,66,13.886304398811689,13.23023746034571,14.511917887734707,-4.047319973385827,-4.662350879416685,-3.4114449573086914,17.933624372197514,17.13235650356172,18.653524355341787
101-1000,midday,5s,1792417,203774850,66,13.884984581169876,13.280333815600331,14.489413864630219,-5.398322380571734,-6.021866135236797,-4.771132053543889,19.28330696174161,18.442120183468003,20.21390245099273
101-1000,midday,30s,1792417,203774850,66,13.888333832781969,13.275563544054895,14.50517254550168,-7.058010921600259,-8.116750853820315,-6.102004440908923,20.946344754382228,19.738047870305216,22.166987594708612
101-1000,close,1s,420856,51292184,6,11.593355032465448,10.525516878807231,13.943268926744409,0.4250583787483822,-1.5167718945576394,1.5271969849087486,11.168296653717066,9.547252506701367,14.138688748289935
101-1000,close,5s,420856,51292184,6,11.601093781193825,10.557819299736158,13.994195598777138,-0.09836544372294868,-2.241762200042894,1.2634437076500877,11.699459224916774,9.712692164037758,15.578336402657897
101-1000,close,30s,420856,51292184,6,11.595967463714098,10.51622557896584,13.73323535108192,-0.15589388781396826,-3.6592924126966726,2.4585004972040565,11.751861351528069,8.356538060821741,17.12413055230609
rest,open,1s,173423,15300045,6,80.38704782929982,53.453866682196335,107.79187420137465,18.145176809105607,6.801362227258817,28.2966617045834,62.24187102019423,40.91379741730417,86.98241479392496
rest,open,5s,173423,15300045,6,80.11097815431735,55.40256083902989,108.70383013399027,10.244811732417546,-1.4075771188790274,23.60668182096733,69.86616642189983,42.690144965768624,103.32624968451053
rest,open,30s,173423,15300045,6,80.19324122383574,53.8771853045496,104.7365594497483,5.902443041227423,-8.517519607654863,19.066682709859123,74.29079818260833,44.71994621318913,112.47894354047902
rest,midday,1s,1672289,104800849,66,33.429767551224245,29.131982705584807,40.70048131279758,3.8872542956724767,0.16229277948651177,9.757250443210177,29.54251325555177,27.69152954711849,31.378731854685427
rest,midday,5s,1672289,104800849,66,33.43880110216987,28.98686779638356,40.15423112362945,1.0839617587677264,-3.14226139076093,7.3283795235382225,32.35483934340215,30.052616056982462,34.809849636591636
rest,midday,30s,1672289,104800849,66,33.45062703848774,29.13970552177388,39.01440823970757,-0.5918927426562167,-4.69608609977172,5.255826120616142,34.042519781143966,31.416097696815683,37.67668394402198
rest,close,1s,480661,31600754,6,25.180797827850924,21.836522457577917,28.174672168796384,8.407578629319184,3.9607214997388915,11.252484202914976,16.773219198531738,15.395447983794918,20.220595811851837
rest,close,5s,480661,31600754,6,25.167961241071342,21.92045983886282,27.887847458677516,8.873002683005105,3.6534355643463905,12.120411107720129,16.294958558066238,14.32558868501961,19.55966659640605
rest,close,30s,480661,31600754,6,25.18021132239259,22.045822633832096,28.172613353208146,8.237029518737366,1.6237756349847499,12.788570902528436,16.94318180365523,13.366010111973498,21.65655176939157
