tier,session,h,n_exec,volume,blocks,eff,eff_lo,eff_hi,real,real_lo,real_hi,impact,impact_lo,impact_hi
top100,open,1s,710345,84232831,6,20.77479925828272,15.298766252701704,24.25506158366112,-3.696158257586305,-7.056694615346684,-1.3722971268029103,24.470957515869024,21.162987674390664,26.94513599806654
top100,open,5s,710345,84232831,6,20.774799258282716,15.298766252701702,24.91609831637107,-9.94426348794898,-12.159025422161932,-6.489499744317113,30.71906274623167,23.272397657083303,35.88571071990969
top100,open,30s,710345,84232831,6,20.77479925828272,15.0453243406374,24.441005661168294,-6.950940982353005,-11.547867148429088,-0.8045747526607664,27.725740240635773,17.043394202668605,34.616111886883196
top100,midday,1s,2833587,317206716,66,15.134873846143684,13.512516247393298,17.12016789876118,-3.2058819589313736,-4.99771949159878,-1.2081039532633646,18.340755805075055,16.785488593475733,20.036585622102606
top100,midday,5s,2833587,317206716,66,15.134873846143684,13.532564347045348,16.997321154330393,-5.624726900665925,-7.753166200808244,-3.728016283127077,20.759600746809607,18.43335943092363,23.608428124106144
top100,midday,30s,2833587,317206716,66,15.134873846143684,13.527239381672368,17.347479588329456,-9.524330034041666,-15.307694215482229,-5.079175085063394,24.659203880185345,19.258754747871183,32.28023565976221
top100,close,1s,504372,63514786,6,9.283107975809013,7.627226625039637,14.092004309301196,-2.924277754828599,-5.373114025169938,-2.1745952622753517,12.207385730637613,10.11162807436911,18.440482748714835
top100,close,5s,504372,63514786,6,9.283107975809013,7.73311620592473,14.092004309301192,-3.921678260326885,-5.6304371391555135,-3.2784139685253084,13.2047862361359,11.113946393536237,20.176691167148036
top100,close,30s,504372,63514786,6,9.283107975809013,7.737412773530108,14.070786461811064,-5.692166435409295,-7.745289162401879,-2.33244252405381,14.975274411218313,11.093455948618654,18.593120884619076
101-1000,open,1s,699782,71031620,6,16.395070958866693,13.93410639205036,19.192434713970407,-7.740284235930118,-8.370016644502375,-7.183590013672153,24.13535519479681,21.864671825782423,26.43112859236787
101-1000,open,5s,699782,71031620,6,16.395070958866693,13.947078382593032,19.162342368173576,-8.74465734526887,-9.301757870988508,-8.240000175874847,25.139728304135563,23.072358674226514,27.42530126118502
101-1000,open,30s,699782,71031620,6,16.395070958866693,13.902924153453863,19.12770655275824,-12.882995649536463,-17.50655954611611,-9.313759743864065,29.278066608403158,23.24263546690322,36.32016832236522
101-1000,midday,1s,4157128,355194974,66,14.482094901874733,11.797311311853134,18.302691718708243,-3.95524353017685,-5.974935214439277,-0.44777731948285204,18.437338432051583,16.98886920125795,20.625411074636357
101-1000,midday,5s,4157128,355194974,66,14.482094901874731,11.691106214494395,18.278689003929767,-4.930706191389685,-6.511184236064026,-2.3953830546217496,19.41280109326442,17.635475425174207,21.47091276304049
101-1000,midday,30s,4157128,355194974,66,14.482094901874733,11.658671914609155,18.382317165037247,-6.092703929917985,-7.48237002314851,-4.389832378616945,20.57479883179272,18.32037967417215,23.527443535909356
101-1000,close,1s,1128129,114353667,6,9.26617966016632,8.855276654575249,10.609722055684301,-3.8789363316168095,-5.520187262995295,-3.0533527860596545,13.145115991783133,11.905842881208365,15.99839638317445
101-1000,close,5s,1128129,114353667,6,9.26617966016632,8.854963453982851,10.596957759315677,-4.543039567483436,-6.190973349911911,-3.786487623054052,13.809219227649756,12.634454402156836,16.9261097256181
101-1000,close,30s,1128129,114353667,6,9.26617966016632,8.85200675375345,10.571204896916417,-5.412986569885128,-8.959852112533557,-3.947922501369215,14.67916623005145,12.923732848486855,18.816810416126277
rest,open,1s,319027,28608038,6,58.85649060947547,39.01450326576458,80.16901847637726,10.217112773569657,-3.483078326621672,32.853623767929534,48.639377835905805,36.51981303546972,61.7224986618895
rest,open,5s,319027,28608038,6,58.85649060947547,39.2262043571266,81.13005368001878,8.261101725125075,-9.891278200007054,36.555938838735,50.5953888843504,36.744714323207475,68.27094640875004
rest,open,30s,319027,28608038,6,58.85649060947547,38.95968287862923,80.37931756329117,-0.7318659601679602,-16.854984576433598,17.426566906689118,59.58835656964342,42.62450009980198,78.53207334973067
rest,midday,1s,3222731,181534603,66,30.8566721776279,28.376828064759106,33.18814164211053,-2.4386920699840147,-4.9425767394228695,-0.218933499147488,33.295364247611914,30.662734680679,35.65338287951647
rest,midday,5s,3222731,181534603,66,30.8566721776279,28.51675018219616,32.98700565155234,-2.320091083382255,-4.9623429793682625,0.07602932220179978,33.17676326101016,30.591346833381497,36.290800996219275
rest,midday,30s,3222731,181534603,66,30.8566721776279,28.763429967508905,33.363929005166625,-4.998174782457327,-8.35713343648073,-2.2161819903853783,35.85484696008522,32.643118773160445,39.36553946668879
rest,close,1s,1254394,76100890,6,16.317978950002942,15.160990556842664,19.678542554452427,-2.039460715703433,-2.9092318270268067,-1.6351888984278475,18.357439665706377,17.038101864426572,22.085684849444682
rest,close,5s,1254394,76100890,6,16.317978950002946,15.176116256243837,20.286073439919107,-3.153786221688309,-3.5446206665914164,-2.1191401443194344,19.471765171691253,18.10794667590358,22.79166010404284
rest,close,30s,1254394,76100890,6,16.317978950002942,15.129661030656,20.286073439919107,-2.807914628954192,-4.654474757350552,-1.886863350403439,19.125893578957143,17.34511435976288,23.992303594679647
